datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 09:15:00+05:30,53852.75,53658.15,53836.35,,,,,,Sideways,0.0,0.0,0.0,Sideways,,,,,Sideways
2025-09-01 09:16:00+05:30,53855.5,53800.65,53840.5,,,,,,Sideways,0.33,0.07,0.26,Sideways,,,,,Sideways
2025-09-01 09:17:00+05:30,53869.65,53813.8,53869.65,,,,,,Sideways,2.91,0.64,2.28,Sideways,,,,,Sideways
2025-09-01 09:18:00+05:30,53902.75,53845.1,53846.3,,,,,,Sideways,3.04,1.12,1.92,Sideways,,,,,Sideways
2025-09-01 09:19:00+05:30,53893.0,53841.4,53884.2,,,,,,Sideways,6.13,2.12,4.01,Sideways,,,,,Sideways
2025-09-01 09:20:00+05:30,53889.2,53862.1,53862.1,,,,,,Sideways,6.71,3.04,3.68,Sideways,,,,,Sideways
2025-09-01 09:21:00+05:30,53872.45,53844.95,53865.45,,,,,,Sideways,7.36,3.9,3.46,Sideways,,,,,Sideways
2025-09-01 09:22:00+05:30,53905.5,53866.3,53897.25,,,,,,Sideways,10.32,5.19,5.14,Bullish,,,,,Sideways
2025-09-01 09:23:00+05:30,53916.55,53886.5,53910.8,,,,,,Sideways,13.61,6.87,6.74,Bullish,,,,,Sideways
2025-09-01 09:24:00+05:30,53938.05,53907.05,53920.6,,,,,,Sideways,16.81,8.86,7.95,Bullish,,,,,Sideways
2025-09-01 09:25:00+05:30,53925.4,53899.5,53921.2,,,,,,Sideways,19.17,10.92,8.25,Bullish,,,,,Sideways
2025-09-01 09:26:00+05:30,53929.4,53906.4,53912.95,,,,,,Sideways,20.15,12.77,7.38,Bullish,,,,,Sideways
2025-09-01 09:27:00+05:30,53929.0,53913.15,53918.7,,,,,,Sideways,21.14,14.44,6.7,Bullish,,,,,Sideways
